year,Sum of suicides_no,Sum of  gdp_for_year ($) 
1985,116063,110964754234500
1986,120670,132609631982868
1987,126842,155769882274200
1988,121026,175557691204476
1989,160244,191618261647176
1990,193361,236464399957008
1991,198020,252102888610440
1992,211473,268107812488032
1993,221565,271037019424788
1994,232063,293729643723660
1995,243544,329358922744728
1996,246725,335249321862228
1997,240745,330610567459320
1998,249591,330186954612684
1999,256119,343808646118668
2000,255832,352373683311288
2001,250652,348137752649964
2002,256095,361460007211452
2003,256079,405293412848580
2004,240861,450425300789256
2005,234375,475067354100216
2006,233361,517865365084944
2007,233408,576509655876756
2008,235447,619322403842760
2009,243487,584833269596760
2010,238702,625862405486292
2011,236484,678000047330112
2012,230160,676502580180480
2013,223199,685050211812900
2014,222984,672496725417372
2015,203640,580433884300596
2016,15603,29252100111210
