Sum of  gdp_for_year ($) ,Sum of suicides_no,year
110457712449859,116063,1985
132000290225813,120670,1986
154837938523244,126842,1987
175000014470598,121026,1988
190733223600291,160244,1989
234010349910528,193361,1990
250841255154408,198020,1991
265695785289252,211473,1992
269943909273958,221565,1993
292630402943439,232063,1994
327098237729513,243544,1995
331493083416488,246725,1996
328061952503013,240745,1997
328844248556131,249591,1998
341573788992896,256119,1999
349649838180254,255832,2000
346381521180852,250652,2001
358727786155751,256095,2002
402627456541881,256079,2003
447464256645908,240861,2004
470434330750003,234375,2005
510734982558644,233361,2006
569478346663979,233408,2007
610484213949143,235447,2008
578418678738931,243487,2009
616921026550130,238702,2010
671112034230226,236484,2011
671022318891027,230160,2012
678223552361663,223199,2013
666715910524088,222984,2014
577809398334130,203640,2015
28518278031651,15603,2016
