country,continent,lifeExp,pop,gdpPercap
Albania,Boomers,14,375900,835
Albania,Boomers,4,374700,1299
Albania,Boomers,5,332200,1299
Albania,Boomers,8,356400,835
Albania,G.I. Generation,1,24900,1299
Albania,G.I. Generation,1,25100,835
Albania,G.I. Generation,2,37800,1299
Albania,G.I. Generation,2,40800,835
Albania,Generation X,11,241200,835
Albania,Generation X,12,394593,4359
Albania,Generation X,13,232900,835
Albania,Generation X,13,283500,835
Albania,Generation X,17,232000,1299
Albania,Generation X,20,371611,4359
Albania,Generation X,3,245800,1299
Albania,Generation X,5,240000,1299
Albania,Generation X,6,183579,4359
Albania,Generation X,6,263900,1299
Albania,Generation X,7,264000,835
Albania,Generation X,9,179720,4359
Albania,Generation Z,2,223969,4359
Albania,Millenials,1,374900,1299
Albania,Millenials,10,279508,4359
Albania,Millenials,2,348700,835
Albania,Millenials,6,263581,4359
Albania,Millenials,6,376500,835
Albania,Silent,10,177400,1299
Albania,Silent,2,180400,835
Albania,Silent,2,50767,4359
Albania,Silent,2,64415,4359
Albania,Silent,20,241852,4359
Albania,Silent,7,241491,4359
Albania,Silent,9,178000,835
Argentina,Boomers,102,3390673,14206
Argentina,Boomers,108,3328463,14203
Argentina,Boomers,109,3454994,13400
Argentina,Boomers,139,3950100,8232
Argentina,Boomers,171,4500787,5590
Argentina,Boomers,174,4253771,8462
Argentina,Boomers,177,2234200,3264
Argentina,Boomers,182,2297000,4859
Argentina,Boomers,398,2894129,14206
Argentina,Boomers,405,2951616,13400
Argentina,Boomers,416,2788575,13946
Argentina,Boomers,451,2839783,14203
Argentina,Boomers,485,3787800,8232
Argentina,Boomers,539,4336453,5590
Argentina,Boomers,578,4096814,8462
Argentina,Boomers,65,2185200,3264
Argentina,Boomers,76,2251000,4859
Argentina,Boomers,93,3268753,13946
Argentina,G.I. Generation,190,2477000,4859
Argentina,G.I. Generation,190,433800,8232
Argentina,G.I. Generation,202,363000,3264
Argentina,G.I. Generation,210,2304000,3264
Argentina,G.I. Generation,226,411100,4859
Argentina,G.I. Generation,232,525161,8462
Argentina,G.I. Generation,41,537000,3264
Argentina,G.I. Generation,43,941957,8462
Argentina,G.I. Generation,485,1997000,3264
Argentina,G.I. Generation,49,742200,8232
Argentina,G.I. Generation,502,2128000,4859
Argentina,G.I. Generation,61,643000,4859
Argentina,Generation X,101,3053300,8232
Argentina,Generation X,101,3210247,11273
Argentina,Generation X,104,3011376,5590
Argentina,Generation X,11,2955200,3264
Argentina,Generation X,116,3249247,8462
Argentina,Generation X,14,3171000,4859
Argentina,Generation X,156,2415200,3264
Argentina,Generation X,157,4893085,13946
Argentina,Generation X,157,5099167,14206
Argentina,Generation X,16,3044200,3264
Argentina,Generation X,162,4804030,11273
Argentina,Generation X,164,4993138,14203
Argentina,Generation X,174,2635000,4859
Argentina,Generation X,196,5203634,13400
