group,Nitrogen,normal,stress
Albania,1987,73,2709600
Albania,1988,63,2764300
Albania,1989,68,2803100
Albania,1992,47,2822500
Albania,1993,73,2807300
Albania,1994,50,2849300
Albania,1995,88,2903400
Albania,1996,89,2940200
Albania,1997,170,2977300
Albania,1998,154,3012700
Albania,1999,139,3029700
Albania,2000,54,2796300
Albania,2001,119,2799349
Albania,2002,133,2818839
Albania,2003,124,2843929
Albania,2004,146,2874991
Albania,2005,0,2783320
Albania,2006,0,2780176
Albania,2007,124,2770344
Albania,2008,160,2757059
Albania,2009,0,2745735
Albania,2010,96,2736025
Antigua and Barbuda,1985,0,62574
Antigua and Barbuda,1986,0,61270
Antigua and Barbuda,1987,0,60261
Antigua and Barbuda,1988,0,59564
Antigua and Barbuda,1989,0,59238
Antigua and Barbuda,1990,1,59334
Antigua and Barbuda,1991,0,60394
Antigua and Barbuda,1992,0,61741
Antigua and Barbuda,1993,1,63315
Antigua and Barbuda,1994,0,65044
Antigua and Barbuda,1995,0,66846
Antigua and Barbuda,1998,0,72225
Antigua and Barbuda,1999,0,73832
Antigua and Barbuda,2000,2,75326
Antigua and Barbuda,2001,2,76497
Antigua and Barbuda,2002,0,77588
Antigua and Barbuda,2003,1,78658
Antigua and Barbuda,2004,2,79722
Antigua and Barbuda,2005,0,80809
Antigua and Barbuda,2006,0,81973
Antigua and Barbuda,2007,1,83131
Antigua and Barbuda,2008,0,84273
Antigua and Barbuda,2009,0,85405
Antigua and Barbuda,2012,0,88703
Antigua and Barbuda,2013,0,89779
Antigua and Barbuda,2014,0,90837
Antigua and Barbuda,2015,1,91889
Argentina,1985,1988,27090800
Argentina,1986,2284,27244400
Argentina,1987,2286,27599400
Argentina,1988,2354,28308000
Argentina,1989,2247,28702000
Argentina,1990,2140,29091100
Argentina,1991,1951,29623000
Argentina,1992,2184,30045400
Argentina,1993,2230,30477500
Argentina,1994,2241,30911200
Argentina,1995,2204,31345400
Argentina,1996,2229,31780700
Argentina,1997,2184,32333781
Argentina,1998,2347,32757259
Argentina,1999,2423,33174862
Argentina,2000,2774,33585533
Argentina,2001,3132,34010946
Argentina,2002,3162,34407507
Argentina,2003,3289,34785907
Argentina,2004,3121,35162945
Argentina,2005,3058,35550617
Argentina,2006,3108,35918886
Argentina,2007,2946,36315492
Argentina,2008,3059,36733520
Argentina,2009,2884,37158001
Argentina,2010,2943,37578454
Argentina,2011,2912,38015739
Argentina,2012,3248,38441778
Argentina,2013,2987,38859125
Argentina,2014,3231,39276555
Argentina,2015,3073,39699624
Armenia,1990,93,2983700
Armenia,1991,80,3230800
Armenia,1992,83,3308700
Armenia,1993,106,3366600
Armenia,1994,112,3402500
Armenia,1995,130,3443200
Armenia,1996,87,3486300
Armenia,1997,77,3526700
Armenia,1998,66,3558000
Armenia,1999,67,3580700
Armenia,2000,61,3606500
Armenia,2001,60,3610516
Armenia,2002,74,3014844
Armenia,2003,59,3024366
Armenia,2006,78,2764396
Armenia,2007,71,2735313
Armenia,2008,63,3045391
Armenia,2009,53,2689695
Armenia,2010,73,2676225
Armenia,2011,67,2670366
Armenia,2012,79,2814300
Armenia,2013,67,2810664
Armenia,2014,58,2803029
Armenia,2015,74,2795335
Armenia,2016,67,2400033
Aruba,1995,8,73581
Aruba,1999,9,81934
Aruba,2000,10,83888
Aruba,2001,4,86045
Aruba,2002,9,88284
Aruba,2003,2,90457
Aruba,2004,8,92335
Aruba,2005,10,93728
Aruba,2006,9,94508
Aruba,2007,8,94814
Aruba,2008,4,94814
Aruba,2009,4,94795
Aruba,2010,7,95006
Aruba,2011,9,95488
Australia,1985,1861,14562500
Australia,1986,2044,14809800
Australia,1987,2164,15046500
Australia,1988,2172,15312100
Australia,1989,2066,15570600
Australia,1990,2202,15807000
Australia,1991,2288,16012100
Australia,1992,2251,16203500
Australia,1993,2038,16370000
Australia,1994,2283,16549400
Australia,1995,2170,16766300
Australia,1996,2426,17015100
Australia,1997,2646,17221300
Australia,1998,2632,17421730
Australia,1999,2488,17641702
Australia,2000,2391,17874410
Australia,2001,2458,18130883
Australia,2002,2319,18370058
Australia,2003,2156,18608029
Australia,2004,2114,18854551
Australia,2006,2117,19109246
Australia,2007,2229,19734430
Australia,2008,2341,20120312
Australia,2009,2337,20529317
Australia,2010,2420,20847547
Australia,2011,2392,20881910
Australia,2012,2580,21238909
Australia,2013,2608,21600180
Australia,2014,2891,21927587
Australia,2015,3027,22240785
Austria,1985,2091,7110115
Austria,1986,2139,7119149
Austria,1987,2069,7130006
Austria,1988,1851,7144410
Austria,1989,1898,7177666
Austria,1990,1825,7231353
Austria,1991,1769,7299728
Austria,1992,1759,7375368
Austria,1993,1704,7433569
Austria,1994,1776,7462552
Austria,1995,1788,7477030
Austria,1996,1779,7493706
Austria,1997,1592,7512589
Austria,1998,1559,7533519
Austria,1999,1555,7561609
Austria,2000,1588,7592073
Austria,2001,1489,7634560
Austria,2002,1553,7683162
Austria,2003,1456,7722033
Austria,2004,1422,7773105
Austria,2005,1399,7827461
Austria,2006,1297,7869269
Austria,2007,1285,7897272
Austria,2008,1267,7925258
Austria,2009,1278,7946894
